,이름,id,생년월일,연도,팀명,나이,P,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
2426,강민성,69064,1999-12-08,2023,KT,24,3B,12,27,22,2,4,1,0,0,5,0,0,0,4,0,0,10,0,1,0,0.182,0.308,0.227,0.535,0.263,51.3,-0.02,-0.31
2427,이선우,69068,2000-09-19,2023,KT,23,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
2434,문보경,69102,2000-07-19,2023,LG,23,3B,131,542,469,77,141,29,5,10,210,72,9,9,58,2,2,83,5,9,4,0.301,0.377,0.448,0.825,0.376,132.4,4.13,1.7
2439,이정용,69134,1996-03-26,2023,LG,27,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
2449,송승환,69203,2000-10-28,2023,두산,23,LF,30,76,70,10,16,3,1,0,21,4,0,1,4,0,0,16,2,2,0,0.229,0.27,0.3,0.57,0.264,53.3,-0.25,-0.41
2453,김태근,69207,1996-08-10,2023,두산,27,RF,41,55,52,9,11,3,0,0,14,3,0,3,0,1,0,21,0,2,0,0.212,0.226,0.269,0.496,0.225,28.5,-0.43,-0.6
2460,김대한,69238,2000-12-06,2023,두산,23,RF,33,89,81,10,16,3,1,1,24,7,1,3,7,1,0,21,0,0,0,0.198,0.27,0.296,0.566,0.271,60.4,-0.22,-0.61
2465,김주형,69306,1996-03-05,2023,키움,27,SS,46,81,69,5,10,2,0,0,12,4,0,0,9,1,0,27,2,2,0,0.145,0.253,0.174,0.427,0.217,23.8,-0.36,-0.76
2467,주성원,69332,2000-08-30,2023,키움,23,RF,25,72,69,7,15,2,1,0,19,2,0,0,1,0,0,18,1,1,1,0.217,0.225,0.275,0.501,0.229,31.1,-0.43,-0.55
2474,윤정현,69399,1993-05-17,2023,키움,30,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
2483,이해승,69416,2000-08-01,2023,삼성,23,3B,9,4,4,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.25,0.25,0.5,0.75,0.333,99.8,0.03,-0.02
2485,이병헌,69428,1999-10-26,2023,삼성,24,C,23,33,28,3,4,0,0,0,4,2,0,0,3,0,0,11,0,1,1,0.143,0.219,0.143,0.362,0.182,-1.2,-0.19,-0.41
2490,김도환,69442,2000-04-14,2023,삼성,23,C,9,8,7,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.143,0.25,0.143,0.393,0.21,18.0,-0.04,-0.07
2495,이학주,69453,1990-11-04,2023,롯데,33,SS,104,122,110,22,23,2,0,3,34,13,4,1,11,1,0,31,2,0,0,0.209,0.287,0.309,0.596,0.286,70.3,0.21,-0.26
2497,신윤후,69508,1996-01-05,2023,롯데,27,LF,28,27,25,2,1,0,0,0,1,1,1,0,0,2,0,8,0,0,0,0.04,0.111,0.04,0.151,0.092,-62.5,-0.4,-0.12
2500,고승민,69517,2000-08-11,2023,롯데,23,1B,94,307,254,35,57,14,2,2,81,24,8,3,42,1,3,64,2,6,4,0.224,0.332,0.319,0.651,0.305,80.4,0.15,-0.53
2504,김기훈,69620,2000-01-03,2023,KIA,23,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
2508,오선우,69636,1996-12-13,2023,KIA,27,1B,33,31,28,2,5,0,0,2,11,5,0,0,3,0,0,15,0,0,0,0.179,0.258,0.393,0.651,0.298,82.0,-0.01,-0.09
2514,김건,69702,2000-02-23,2023,한화,23,DH,7,12,12,1,2,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0.167,0.167,0.167,0.333,0.159,-14.1,-0.14,-0.12
2520,허관회,69706,1999-02-12,2023,한화,24,C,10,7,7,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,-123.9,-0.16,-0.09
2523,변우혁,69727,2000-03-18,2023,KIA,23,1B,83,226,200,23,45,4,0,7,70,24,0,0,23,3,1,74,4,0,0,0.225,0.314,0.35,0.664,0.315,90.8,0.45,-0.1
2528,노시환,69737,2000-12-03,2023,한화,23,3B,131,595,514,85,153,30,1,31,278,101,2,1,74,4,5,118,13,0,3,0.298,0.388,0.541,0.929,0.418,159.3,6.93,4.25
2531,유로결,69766,2000-05-30,2023,한화,23,RF,27,53,48,5,7,1,0,0,8,5,1,0,1,1,0,10,3,1,2,0.146,0.173,0.167,0.34,0.161,-14.5,-0.55,-0.63
2534,최경모,69802,1996-06-17,2023,SSG,27,3B,28,20,20,6,3,0,0,0,3,1,2,0,0,0,0,5,0,0,0,0.15,0.15,0.15,0.3,0.143,-26.7,-0.13,-0.09
2537,채현우,69804,1995-11-21,2023,SSG,28,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
2543,하재훈,69813,1990-10-29,2023,SSG,33,LF,77,229,201,35,61,10,1,7,94,35,11,0,19,5,1,53,0,2,2,0.303,0.374,0.468,0.842,0.384,135.2,2.02,0.51
2547,백승건,69839,2000-10-29,2023,SSG,23,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
2550,박주찬,69900,1996-01-11,2023,NC,27,3B,5,14,14,1,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0.143,0.143,0.143,0.286,0.136,-30.4,-0.16,-0.13
2554,전사민,69969,1999-07-06,2023,NC,24,P,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-123.9,-0.02,-0.05
2559,최정원,69992,2000-06-24,2023,NC,23,2B,39,56,50,12,13,3,2,0,20,5,4,1,1,3,0,13,1,2,0,0.26,0.315,0.4,0.715,0.321,92.8,0.24,0.18
2563,서호철,69995,1996-10-16,2023,NC,27,3B,114,435,397,50,114,17,3,5,152,41,4,5,20,8,0,51,9,6,4,0.287,0.331,0.383,0.714,0.33,99.9,1.78,0.15
3157,김강민,71837,1982-09-13,2023,SSG,41,CF,70,166,137,20,31,3,0,2,40,7,2,1,23,1,1,38,2,2,3,0.226,0.335,0.292,0.627,0.302,79.8,0.16,-0.64
3406,최형우,72443,1983-12-16,2023,KIA,40,DH,121,508,431,64,130,27,1,17,210,81,0,0,65,8,1,83,5,0,4,0.302,0.4,0.487,0.887,0.409,153.8,3.68,4.06
3459,고효준,72523,1983-02-08,2023,SSG,40,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
3602,박경수,73113,1984-03-31,2023,KT,39,2B,107,221,185,12,37,13,0,1,53,12,0,0,30,1,1,46,2,5,0,0.2,0.315,0.286,0.601,0.288,68.3,-0.03,0.6
3679,노경은,73211,1984-03-11,2023,SSG,39,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
4013,이용규,74163,1985-08-26,2023,키움,38,LF,50,178,154,19,36,0,3,0,42,11,2,1,19,1,0,22,3,2,2,0.234,0.318,0.273,0.591,0.287,70.3,-0.19,-0.23
4037,김재호,74206,1985-03-21,2023,두산,38,SS,91,302,248,32,70,13,0,3,92,29,4,0,30,8,2,24,11,14,2,0.282,0.375,0.371,0.746,0.339,107.0,1.83,0.57
4137,박석민,74465,1985-06-22,2023,NC,38,3B,30,107,88,9,17,1,0,1,21,8,0,0,14,3,0,22,4,1,1,0.193,0.321,0.239,0.559,0.282,67.1,-0.08,-0.82
4165,강민호,74540,1985-08-18,2023,삼성,38,C,125,495,434,60,126,19,0,16,193,77,6,1,49,6,4,65,17,1,5,0.29,0.366,0.445,0.811,0.373,124.6,3.8,1.34
4298,정우람,74857,1985-06-01,2023,한화,38,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
4315,박병호,75125,1986-07-10,2023,KT,37,1B,132,493,431,53,122,15,0,18,191,87,2,0,46,8,2,114,9,0,8,0.283,0.357,0.443,0.8,0.368,122.7,2.39,2.79
4406,오재일,75334,1986-10-29,2023,삼성,37,1B,106,364,315,31,64,15,0,11,112,54,1,0,43,3,1,110,1,0,3,0.203,0.302,0.356,0.658,0.309,82.4,-0.06,1.27
4436,오승환,75421,1982-07-15,2023,삼성,41,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
4482,이원석,75566,1986-10-21,2023,"삼성,키움",37,1B,89,345,305,22,75,10,0,2,91,30,0,1,34,3,1,67,9,1,2,0.246,0.326,0.298,0.624,0.302,81.0,-0.07,-0.48
4483,이원석,75566,1986-10-21,2023,키움,37,1B,70,273,247,16,54,6,0,1,63,20,0,0,20,3,1,59,8,1,2,0.219,0.283,0.255,0.538,0.261,53.8,-0.67,-0.87
4484,이원석,75566,1986-10-21,2023,삼성,37,1B,19,72,58,6,21,4,0,1,28,10,0,1,14,0,0,8,1,0,0,0.362,0.486,0.483,0.969,0.457,182.7,0.87,0.39
4578,최정,75847,1987-02-28,2023,SSG,36,3B,128,552,471,94,140,31,0,29,258,87,7,3,59,15,6,87,12,1,6,0.297,0.388,0.548,0.936,0.418,155.8,5.78,2.8
4612,원종현,76118,1987-07-31,2023,키움,36,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
4642,양의지,76232,1987-06-05,2023,두산,36,C,129,509,438,56,134,23,0,17,208,68,8,0,57,11,8,56,20,0,3,0.306,0.397,0.475,0.872,0.399,151.9,5.4,0.59
4676,최주환,76267,1988-02-28,2023,SSG,35,2B,134,478,426,48,100,24,0,20,184,63,0,0,43,5,4,94,6,1,3,0.235,0.31,0.432,0.742,0.337,101.4,1.62,1.6
4692,김현수,76290,1988-01-12,2023,LG,35,DH,133,556,488,53,143,22,2,6,187,88,2,1,58,1,4,53,10,1,8,0.293,0.364,0.383,0.747,0.35,114.1,1.69,1.61
4715,황재균,76313,1987-07-28,2023,KT,36,3B,109,457,407,62,120,26,2,6,168,49,3,3,45,1,1,64,15,3,1,0.295,0.366,0.413,0.778,0.363,119.2,3.18,1.89
4771,김상수,76430,1988-01-02,2023,롯데,35,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
4928,김성현,76802,1987-03-09,2023,SSG,36,2B,112,354,310,35,83,14,0,1,100,27,4,1,29,0,1,36,6,13,2,0.268,0.328,0.323,0.651,0.3,81.0,0.95,-0.94
4946,이재원,76812,1988-02-24,2023,SSG,35,C,27,48,44,3,4,1,0,0,5,2,0,0,2,0,0,8,4,1,1,0.091,0.128,0.114,0.241,0.118,-43.3,-0.56,-1.08
4966,이명기,76849,1987-12-26,2023,한화,36,DH,14,42,40,2,7,1,0,0,8,5,1,0,2,0,0,9,0,0,0,0.175,0.214,0.2,0.414,0.203,13.9,-0.36,-0.28
5015,이용찬,77211,1989-01-02,2023,NC,34,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
5033,허도환,77243,1984-07-31,2023,LG,39,C,47,81,64,8,9,3,0,2,18,10,0,0,3,6,0,20,3,7,1,0.141,0.243,0.281,0.525,0.231,36.3,-0.1,0.12
5124,손아섭,77532,1988-03-18,2023,NC,35,DH,140,609,551,97,187,36,3,5,244,65,14,3,50,2,2,67,10,1,5,0.339,0.393,0.443,0.836,0.39,140.0,4.39,2.67
5146,김민성,77564,1988-12-17,2023,LG,35,2B,112,316,273,34,68,11,0,8,103,41,2,1,25,7,0,58,7,9,2,0.249,0.326,0.377,0.703,0.322,96.9,1.21,-1.44
5231,김태군,78122,1989-12-30,2023,"삼성,KIA",34,C,114,346,311,24,80,10,1,1,95,42,2,1,15,8,1,30,17,8,4,0.257,0.305,0.305,0.61,0.285,68.4,0.24,-1.94
5232,김태군,78122,1989-12-30,2023,삼성,34,C,49,143,125,7,32,4,1,1,41,18,0,0,10,4,1,11,8,3,1,0.256,0.329,0.328,0.657,0.306,81.5,0.12,-0.75
5233,김태군,78122,1989-12-30,2023,KIA,34,C,65,203,186,17,48,6,0,0,54,24,2,1,5,4,0,19,9,5,3,0.258,0.288,0.29,0.578,0.27,58.6,-0.42,-1.19
5246,이형종,78135,1989-06-07,2023,키움,34,RF,99,374,316,35,68,22,1,3,101,37,0,0,39,14,2,78,11,3,2,0.215,0.326,0.32,0.646,0.309,85.3,0.23,-1.6
5265,서건창,78168,1989-08-22,2023,LG,34,2B,44,126,110,14,22,5,2,0,31,12,3,3,10,0,0,14,5,3,3,0.2,0.26,0.282,0.542,0.251,45.7,-0.46,-1.28
5291,김재환,78224,1988-09-22,2023,두산,35,DH,132,484,405,40,89,15,0,10,134,46,3,1,72,5,4,100,8,0,2,0.22,0.343,0.331,0.674,0.324,98.4,0.83,1.41
5321,최재훈,78288,1989-08-27,2023,한화,34,C,125,417,327,23,81,12,0,1,96,33,1,1,56,23,1,48,9,9,2,0.248,0.392,0.294,0.686,0.338,104.7,2.8,0.28
5331,임창민,78352,1985-08-25,2023,키움,38,P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
5384,전준우,78513,1986-02-25,2023,롯데,37,DH,138,559,493,80,154,21,3,17,232,77,9,2,52,7,4,65,12,0,7,0.312,0.381,0.471,0.852,0.391,140.8,3.6,2.65
5395,하준호,78517,1989-04-29,2023,KT,34,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
5417,장성우,78548,1990-01-17,2023,KT,33,C,131,464,410,37,118,22,0,11,173,65,1,1,42,2,1,70,12,3,7,0.288,0.351,0.422,0.773,0.356,114.6,3.35,0.19
5448,김선빈,78603,1989-12-18,2023,KIA,34,2B,119,472,418,41,134,16,0,0,150,48,3,1,38,5,0,26,10,8,3,0.321,0.382,0.359,0.74,0.351,113.0,2.59,1.24
5515,오선진,78756,1989-07-07,2023,한화,34,SS,90,199,165,17,38,6,0,0,44,15,2,0,24,5,0,34,7,3,2,0.23,0.342,0.267,0.609,0.301,79.8,0.46,-0.29
5583,오지환,79109,1990-03-12,2023,LG,33,SS,126,502,422,65,113,24,3,8,167,62,16,7,64,8,0,82,4,4,4,0.268,0.372,0.396,0.767,0.36,121.9,3.89,1.95
5608,최동환,79140,1989-09-19,2023,LG,34,P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0
5620,정주현,79150,1990-10-13,2023,LG,33,1B,89,101,88,17,24,2,0,1,29,12,1,5,9,0,0,16,1,2,1,0.273,0.337,0.33,0.666,0.311,87.0,0.08,-0.21
5630,채은성,79192,1990-02-06,2023,한화,33,1B,137,596,521,71,137,17,0,23,223,84,0,0,52,20,8,102,16,0,3,0.263,0.351,0.428,0.779,0.358,118.6,2.64,2.17
5654,박건우,79215,1990-09-08,2023,NC,33,RF,130,533,458,70,146,34,2,12,220,85,7,5,56,9,0,71,14,1,9,0.319,0.397,0.48,0.877,0.403,148.0,4.25,2.5
5670,정수빈,79231,1990-10-07,2023,두산,33,CF,137,583,498,75,143,14,11,2,185,33,39,8,64,7,1,63,2,12,2,0.287,0.375,0.371,0.746,0.349,111.0,3.89,1.33
5686,허경민,79240,1990-08-26,2023,두산,33,3B,130,475,429,44,114,22,1,7,159,48,9,3,35,6,3,26,6,0,5,0.266,0.326,0.371,0.697,0.326,98.9,2.08,-0.83
5698,국해성,79290,1989-10-08,2023,롯데,34,DH,6,10,8,0,2,0,0,0,2,1,0,0,2,0,0,3,0,0,0,0.25,0.4,0.25,0.65,0.337,101.9,0.03,-0.13
5755,박동원,79365,1990-04-07,2023,LG,33,C,130,481,409,54,102,17,1,20,181,75,0,1,49,7,3,90,7,8,8,0.249,0.334,0.443,0.777,0.348,116.0,3.41,1.09
5770,김상수,79402,1990-03-23,2023,KT,33,SS,129,512,443,58,120,19,1,3,150,56,5,6,55,3,0,68,9,8,3,0.271,0.353,0.339,0.692,0.329,96.0,2.29,-0.21
5802,이지영,79456,1986-02-27,2023,키움,37,C,81,237,217,23,54,8,1,0,64,8,1,1,12,1,0,39,2,7,0,0.249,0.291,0.295,0.586,0.273,61.1,0.4,-1.87
5843,안치홍,79608,1990-07-02,2023,롯데,33,2B,121,494,425,57,124,20,1,8,170,63,3,3,49,10,3,53,14,5,5,0.292,0.374,0.4,0.774,0.36,119.1,2.85,1.97
