이름,id,생년월일,연도,팀명,나이,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,포지션
김기훈,69620,2000-01-03,2023,KIA,23,29,0,0,0,2,0,0,0,31.1,22,16,156,28,6.0,1.0,0,37,1,2,26,1,5,4.6,5.42,2.07,89.9,76.7,-0.18,-0.99,중계
장지수,69645,2000-05-25,2023,한화,23,1,0,0,0,0,0,0,0,2.0,5,4,11,4,0.0,0.0,0,2,0,0,0,0,1,18.0,6.44,3.0,23.1,64.5,-0.14,-0.01,중계
박윤철,69762,1996-03-23,2023,한화,27,3,0,0,0,0,0,0,0,3.1,8,8,20,5,2.0,0.0,2,5,0,0,1,0,1,21.6,15.14,3.0,19.2,27.5,-0.25,-0.0,중계
서상준,69803,2000-01-14,2023,SSG,23,2,0,0,0,0,0,0,0,2.0,3,0,13,1,0.0,0.0,0,5,0,0,3,0,1,0.0,7.94,3.0,,52.3,-0.06,-0.01,중계
백승건,69839,2000-10-29,2023,SSG,23,25,0,0,2,2,2,0,3,38.0,24,21,170,41,5.0,0.0,7,17,0,0,29,0,0,4.97,5.65,1.53,84.1,75.8,0.14,0.18,선발
송명기,69962,2000-08-09,2023,NC,23,35,0,0,17,4,9,0,0,104.1,64,57,474,106,15.0,2.0,12,47,0,11,65,0,6,4.92,5.36,1.47,84.7,78.5,0.3,-1.33,선발
전사민,69969,1999-07-06,2023,NC,24,9,0,0,0,0,2,1,0,17.0,10,9,81,17,1.0,0.0,1,14,1,2,6,0,1,4.76,6.15,1.82,87.4,68.2,0.14,-0.17,중계
배민서,69974,1999-11-18,2023,NC,24,6,0,0,0,0,0,0,0,6.2,8,5,34,10,5.0,2.0,0,2,0,1,4,0,1,6.75,3.59,1.8,61.7,115.9,-0.18,-0.13,중계
하준수,69991,2000-05-07,2023,NC,23,1,0,0,0,0,0,0,0,1.0,0,0,5,0,0.0,0.0,0,2,0,0,1,0,0,0.0,7.44,2.0,,56.5,0.04,0.0,중계
고효준,72523,1983-02-08,2023,SSG,40,73,0,0,0,4,1,0,13,58.0,32,29,262,49,3.0,0.0,3,42,0,3,66,0,4,4.5,4.17,1.57,93.0,101.1,0.43,0.08,중계
우규민,73117,1985-01-21,2023,삼성,38,56,0,0,0,3,1,0,13,43.0,25,23,188,55,9.0,0.0,3,5,0,3,28,0,0,4.81,3.61,1.4,88.0,116.2,0.34,-0.26,중계
노경은,73211,1984-03-11,2023,SSG,39,76,0,0,0,8,5,2,29,83.0,33,33,357,78,13.0,2.0,4,36,5,4,65,0,8,3.58,3.77,1.37,117.0,111.8,2.35,1.75,중계
송은범,73801,1984-03-17,2023,LG,39,4,0,0,0,0,0,0,0,3.2,1,1,17,6,0.0,0.0,0,3,0,0,2,0,0,2.45,4.81,2.46,166.3,86.2,0.1,-0.1,중계
장원준,74513,1985-07-31,2023,두산,38,11,0,0,10,3,5,0,0,41.0,27,24,183,53,8.0,2.0,4,11,0,2,24,0,2,5.27,4.49,1.56,77.3,89.4,-0.17,-0.64,선발
정우람,74857,1985-06-01,2023,한화,38,52,0,0,0,0,1,0,8,40.1,24,24,183,45,8.0,2.0,3,17,0,2,30,0,3,5.36,4.34,1.54,77.5,95.7,0.24,0.24,중계
오승환,75421,1982-07-15,2023,삼성,41,58,0,0,1,4,5,30,2,62.2,26,24,264,57,11.0,1.0,9,15,1,2,44,0,0,3.45,4.67,1.15,122.9,90.5,1.81,0.63,선발
김진성,75867,1985-03-07,2023,LG,38,80,0,0,0,5,1,4,21,70.1,17,17,270,41,5.0,1.0,8,26,0,0,69,0,0,2.18,4.07,0.95,187.6,99.4,2.96,1.81,중계
원종현,76118,1987-07-31,2023,키움,36,20,0,0,0,1,1,0,6,18.2,16,12,87,24,8.0,1.0,3,5,1,1,17,0,2,5.79,4.51,1.55,71.0,88.7,-0.64,-0.53,중계
김건국,76225,1988-02-02,2023,KIA,35,6,0,0,5,0,1,0,0,16.0,12,12,70,18,6.0,1.0,0,4,0,1,9,0,0,6.75,3.26,1.38,61.2,127.4,-0.07,-0.24,선발
김상수,76430,1988-01-02,2023,롯데,35,66,0,0,0,4,2,1,18,52.0,22,18,218,45,7.0,1.0,1,21,0,3,36,0,1,3.12,3.69,1.27,133.5,112.4,1.21,0.6,중계
진해수,76650,1986-06-26,2023,LG,37,19,0,0,0,0,0,0,2,14.2,8,5,72,18,3.0,0.0,2,10,0,0,12,0,3,3.07,5.62,1.91,133.0,72.0,0.13,-0.44,중계
이용찬,77211,1989-01-02,2023,NC,34,60,0,0,0,4,4,29,0,61.0,28,28,254,53,6.0,1.0,5,19,1,3,51,0,4,4.13,3.87,1.18,100.8,108.9,1.18,1.31,중계
김강률,77263,1988-08-28,2023,두산,35,32,0,0,0,1,0,1,7,25.2,14,12,115,23,3.0,0.0,2,12,0,2,21,0,2,4.21,4.46,1.36,96.8,90.7,0.23,0.15,중계
장시환,77318,1987-11-01,2023,한화,36,39,0,0,0,2,2,1,7,34.2,13,13,153,32,4.0,0.0,1,21,1,4,24,0,3,3.38,4.51,1.53,123.0,92.0,1.0,-0.81,중계
백정현,77446,1987-07-13,2023,삼성,36,18,0,0,18,7,5,0,0,100.2,44,41,419,100,19.0,2.0,6,30,2,0,61,1,5,3.67,3.84,1.29,115.5,108.9,2.22,0.6,선발
양현종,77637,1988-03-01,2023,KIA,35,29,0,0,29,9,11,0,0,171.0,78,67,729,180,32.0,1.0,13,48,1,1,133,0,5,3.53,3.72,1.33,117.2,110.4,2.8,-0.03,선발
김광현,77829,1988-07-22,2023,SSG,35,30,0,0,30,9,8,0,0,168.1,75,66,713,163,30.0,0.0,11,70,0,2,119,0,5,3.53,4.16,1.38,118.6,101.3,3.3,0.92,선발
장필준,77927,1988-04-08,2023,삼성,35,17,0,0,3,1,1,0,1,19.1,17,17,96,28,5.0,3.0,2,12,0,2,11,0,0,7.91,5.82,2.07,53.5,71.8,-0.3,-0.34,선발
정찬헌,78148,1990-01-26,2023,키움,33,14,1,0,14,2,8,0,0,72.0,40,38,295,71,12.0,3.0,4,13,1,2,35,0,0,4.75,3.78,1.17,86.5,108.1,0.67,-0.15,선발
임창민,78352,1985-08-25,2023,키움,38,51,0,0,0,2,2,26,1,46.2,16,13,209,51,6.0,0.0,3,17,3,2,40,0,0,2.51,3.59,1.46,163.8,113.1,1.89,0.55,중계
하준호,78517,1989-04-29,2023,KT,34,12,0,0,0,0,1,0,0,13.0,9,7,65,14,1.0,0.0,0,10,2,5,6,0,4,4.85,5.52,1.85,87.1,75.5,0.04,-0.15,중계
최동환,79140,1989-09-19,2023,LG,34,45,0,0,0,0,0,1,1,42.1,18,15,189,42,11.0,0.0,1,17,2,3,20,0,0,3.19,4.08,1.39,128.0,101.1,0.74,0.18,중계
장민재,79764,1990-03-19,2023,한화,33,25,0,0,13,3,8,0,1,69.0,46,37,308,79,13.0,2.0,12,22,2,5,61,0,5,4.83,5.02,1.46,86.0,82.7,-0.12,-0.54,선발
